"Status";"Date";"Description";"Debit";"Credit";"Member Name"
"Cleared";11/18/1989 0:00:00;"WHOLE PAYCHECK";1.27;;"Marge Simpson"
"Cleared";10/22/1989 0:00:00;"KWIK-E-MART GAS";35.39;;"Marge Simpson"
"Cleared";11/14/1989 0:00:00;"PAYMENT";;-1113.66;"Marge Simpson"
"Cleared";11/5/1989 0:00:00;"GOLD NAVY";;-3.88;"Marge Simpson"
"Cleared";11/5/1989 0:00:00;"GOLD NAVY";;-54.34;"Marge Simpson"
"Cleared";10/26/1989 0:00:00;"HINDENBURGER";3.84;;"Marge Simpson"
"Cleared";10/25/1989 0:00:00;"SHACK OF SIT";96.57;;"Marge Simpson"
"Cleared";10/25/1989 0:00:00;"CURL UP & DYE SALON";53.31;;"Marge Simpson"
"Cleared";10/24/1989 0:00:00;"TRY N' SAVE";26.36;;"Marge Simpson"
"Cleared";10/22/1989 0:00:00;"TRY N' SAVE";80.42;;"Marge Simpson"
"Cleared";10/22/1989 0:00:00;"ABERCROMBIE & THE OTHER GUY";72.41;;"Marge Simpson"
"Cleared";11/22/1989 0:00:00;"CURL UP & DYE SALON";43.62;;"Marge Simpson"
"Cleared";11/18/1989 0:00:00;"WHOLE PAYCHECK";247.54;;"Marge Simpson"
"Cleared";4/27/1990 0:00:00;"TRY N' SAVE";7.86;;"Marge Simpson"
"Cleared";1/25/1990 0:00:00;"ABERCROMBIE & THE OTHER GUY";11.19;;"Marge Simpson"
"Cleared";5/22/1990 0:00:00;"WELLNESS FOODS";11.08;;"Marge Simpson"
"Cleared";5/22/1990 0:00:00;"SPRINGFIELD MALL";24.98;;"Marge Simpson"
"Cleared";5/21/1990 0:00:00;"TRY N' SAVE";34.54;;"Marge Simpson"
"Cleared";5/21/1990 0:00:00;"SOME OF THAT JAZZ";17.40;;"Marge Simpson"
"Cleared";5/20/1990 0:00:00;"BREAD PITT";11.54;;"Marge Simpson"
"Cleared";12/29/1991 0:00:00;"WHOLEPAYCHECK.COM";41.75;;"Marge Simpson"
"Cleared";5/12/1990 0:00:00;"WHOLE PAYCHECK";133.92;;"Marge Simpson"
"Cleared";5/7/1990 0:00:00;"SPRINGFIELD MALL";5.58;;"Marge Simpson"
"Cleared";5/23/1990 0:00:00;"KRUSTY BURGER";26.58;;"Marge Simpson"
"Cleared";4/28/1990 0:00:00;"TRY N' SAVE";;-11.35;"Marge Simpson"
"Cleared";5/26/1990 0:00:00;"SPRINGFIELD MALL";20.68;;"Marge Simpson"
"Cleared";4/25/1990 0:00:00;"NOTORIOUS P.I.G. BBQ";40.80;;"Marge Simpson"
"Cleared";4/25/1990 0:00:00;"KRUSTY BURGER";25.92;;"Marge Simpson"
"Cleared";4/24/1990 0:00:00;"TRY N' SAVE";47.46;;"Marge Simpson"
"Cleared";4/24/1990 0:00:00;"POVERTY BARN";129.41;;"Marge Simpson"
"Cleared";4/24/1990 0:00:00;"BREAD PITT";13.65;;"Marge Simpson"
"Cleared";4/23/1990 0:00:00;"SEW IT SEAMS";27.19;;"Marge Simpson"
"Cleared";4/21/1990 0:00:00;"LEFTORIUM";15.85;;"Marge Simpson"
"Cleared";4/18/1990 0:00:00;"TRY N' SAVE";2.94;;"Marge Simpson"
"Cleared";4/18/1990 0:00:00;"KRUSTY BURGER";29.23;;"Marge Simpson"
"Cleared";4/17/1990 0:00:00;"TOYS WERE US";28.84;;"Marge Simpson"
"Cleared";4/30/1990 0:00:00;"TRY N' SAVE";3.26;;"Marge Simpson"
"Cleared";6/22/1990 0:00:00;"KWIK-E-MART";21.02;;"Marge Simpson"
"Cleared";7/23/1990 0:00:00;"SEW IT SEAMS";101.18;;"Marge Simpson"
"Cleared";7/22/1990 0:00:00;"SOME OF THAT JAZZ";17.40;;"Marge Simpson"
"Cleared";7/20/1990 0:00:00;"TRY N' SAVE";63.05;;"Marge Simpson"
"Cleared";7/20/1990 0:00:00;"TRY N' SAVE";3.11;;"Marge Simpson"
"Cleared";7/17/1990 0:00:00;"INDIANA JEANS";86.56;;"Marge Simpson"
"Cleared";7/14/1990 0:00:00;"PAYMENT";;-1181.39;"Marge Simpson"
"Cleared";6/25/1990 0:00:00;"KWIK-E-MART";32.07;;"Marge Simpson"
"Cleared";6/23/1990 0:00:00;"JAVA THE HUT";9.56;;"Marge Simpson"
"Cleared";6/23/1990 0:00:00;"ROAD SCHOLAR TRANSPORT";62.67;;"Marge Simpson"
"Cleared";5/22/1990 0:00:00;"NOTORIOUS P.I.G. BBQ";23.99;;"Marge Simpson"
"Cleared";6/22/1990 0:00:00;"KWIK-E-MART";51.94;;"Marge Simpson"
"Cleared";4/13/1990 0:00:00;"WHOLE PAYCHECK";182.39;;"Marge Simpson"
"Cleared";6/22/1990 0:00:00;"UNCLE MOE'S FAMILY FEED BAG";24.26;;"Marge Simpson"
"Cleared";6/20/1990 0:00:00;"TACOS WITHOUT BORDERS";20.19;;"Marge Simpson"
"Cleared";6/20/1990 0:00:00;"BREAD PITT";9.77;;"Marge Simpson"
"Cleared";6/20/1990 0:00:00;"KRUSTY BURGER";21.88;;"Marge Simpson"
"Cleared";6/19/1990 0:00:00;"MULLIGAN'S ISLAND";8.70;;"Marge Simpson"
"Cleared";6/19/1990 0:00:00;"PUNCHLINE JUICE BAR";11.08;;"Marge Simpson"
"Cleared";6/19/1990 0:00:00;"THE COD FATHER";7.05;;"Marge Simpson"
"Cleared";6/17/1990 0:00:00;"POVERTY BARN";88.87;;"Marge Simpson"
"Cleared";6/16/1990 0:00:00;"JITTERS COFFEE";18.97;;"Marge Simpson"
"Cleared";6/12/1990 0:00:00;"PAYMENT";;-872.34;"Marge Simpson"
"Cleared";6/22/1990 0:00:00;"TRY N' SAVE";144.11;;"Marge Simpson"
"Cleared";2/19/1990 0:00:00;"TRY N' SAVE";75.63;;"Marge Simpson"
"Cleared";2/24/1990 0:00:00;"THE ANDROID'S DUNGEON";3.71;;"Marge Simpson"
"Cleared";2/22/1990 0:00:00;"BREAD PITT";9.74;;"Marge Simpson"
"Cleared";2/22/1990 0:00:00;"HINDENBURGER";4.13;;"Marge Simpson"
"Cleared";2/21/1990 0:00:00;"TOMMY HILLCLIMBER";84.33;;"Marge Simpson"
"Cleared";2/21/1990 0:00:00;"THINGS UNNECESSARY";12.14;;"Marge Simpson"
"Cleared";2/21/1990 0:00:00;"KRUSTY BURGER";18.88;;"Marge Simpson"
"Cleared";2/20/1990 0:00:00;"TOMMY HILLCLIMBER";119.74;;"Marge Simpson"
"Cleared";2/20/1990 0:00:00;"TOMMY HILLCLIMBER";23.30;;"Marge Simpson"
"Cleared";2/20/1990 0:00:00;"THINGS UNNECESSARY";12.19;;"Marge Simpson"
"Cleared";4/15/1990 0:00:00;"TOYS WERE US";28.84;;"Marge Simpson"
"Cleared";2/20/1990 0:00:00;"WHOLE PAYCHECK";19.60;;"Marge Simpson"
"Cleared";3/3/1990 0:00:00;"SPRINGFIELD SCHOOL DISTRICT";19.79;;"Marge Simpson"
"Cleared";2/19/1990 0:00:00;"BANDANA REPUBLIC";64.89;;"Marge Simpson"
"Cleared";2/19/1990 0:00:00;"PUNCHLINE JUICE BAR";11.08;;"Marge Simpson"
"Cleared";2/19/1990 0:00:00;"WHOLE PAYCHECK";218.16;;"Marge Simpson"
"Cleared";2/18/1990 0:00:00;"KWIK-E-MART";26.01;;"Marge Simpson"
"Cleared";2/18/1990 0:00:00;"KWIK-E-MART";64.90;;"Marge Simpson"
"Cleared";2/18/1990 0:00:00;"SHERWOOD FLORIST";0.00;;"Marge Simpson"
"Cleared";2/14/1990 0:00:00;"PAYMENT";;-845.43;"Marge Simpson"
"Cleared";2/4/1990 0:00:00;"WHOLE PAYCHECK";69.46;;"Marge Simpson"
"Cleared";2/2/1990 0:00:00;"SPRINGFIELD SCHOOL DISTRICT";19.79;;"Marge Simpson"
"Cleared";2/1/1990 0:00:00;"DEWEY, CHEATEM & HOWE";8.70;;"Marge Simpson"
"Cleared";2/20/1990 0:00:00;"THINGS UNNECESSARY";11.24;;"Marge Simpson"
"Cleared";3/20/1990 0:00:00;"BREAD PITT";9.77;;"Marge Simpson"
"Cleared";9/19/1989 0:00:00;"TRY N' SAVE";90.95;;"Marge Simpson"
"Cleared";4/13/1990 0:00:00;"WHOLE PAYCHECK";;-132.80;"Marge Simpson"
"Cleared";4/5/1990 0:00:00;"SPRINGFIELD MALL";14.63;;"Marge Simpson"
"Cleared";4/3/1990 0:00:00;"TRY N' SAVE";9.76;;"Marge Simpson"
"Cleared";4/3/1990 0:00:00;"SPRINGFIELD MALL";11.98;;"Marge Simpson"
"Cleared";4/1/1990 0:00:00;"TRY N' SAVE";38.34;;"Marge Simpson"
"Cleared";3/31/1990 0:00:00;"TRY N' SAVE";2.48;;"Marge Simpson"
"Cleared";3/30/1990 0:00:00;"WHOLE PAYCHECK";265.14;;"Marge Simpson"
"Cleared";3/27/1990 0:00:00;"SPRINGFIELD MALL";27.95;;"Marge Simpson"
"Cleared";3/26/1990 0:00:00;"TRY N' SAVE";11.70;;"Marge Simpson"
"Cleared";2/25/1990 0:00:00;"KWIK-E-MART GAS";31.50;;"Marge Simpson"
"Cleared";3/21/1990 0:00:00;"WHOLE PAYCHECK";170.99;;"Marge Simpson"
"Cleared";2/25/1990 0:00:00;"WHOLE PAYCHECK";68.48;;"Marge Simpson"
"Cleared";3/18/1990 0:00:00;"CENTSABLE FASHIONS";86.45;;"Marge Simpson"
"Cleared";3/18/1990 0:00:00;"ABERCROMBIE & THE OTHER GUY";68.30;;"Marge Simpson"
"Cleared";3/18/1990 0:00:00;"AMERICAN VULTURE";72.62;;"Marge Simpson"
"Cleared";3/13/1990 0:00:00;"PAYMENT";;-1241.15;"Marge Simpson"
"Cleared";3/13/1990 0:00:00;"WHOLE PAYCHECK";80.21;;"Marge Simpson"
"Cleared";3/12/1990 0:00:00;"WHOLE PAYCHECK";109.40;;"Marge Simpson"
"Cleared";3/3/1990 0:00:00;"WHOLE PAYCHECK";123.25;;"Marge Simpson"
"Cleared";3/3/1990 0:00:00;"WHOLE PAYCHECK";94.55;;"Marge Simpson"
"Cleared";3/3/1990 0:00:00;"WHOLE PAYCHECK";2.54;;"Marge Simpson"
"Cleared";4/14/1990 0:00:00;"PAYMENT";;-1331.76;"Marge Simpson"
"Cleared";3/21/1990 0:00:00;"NOTORIOUS P.I.G. BBQ";43.22;;"Marge Simpson"
"Cleared";4/17/1989 0:00:00;"WHOLE PAYCHECK";268.68;;"Marge Simpson"
"Cleared";5/25/1989 0:00:00;"KRUSTY BURGER";17.24;;"Marge Simpson"
"Cleared";4/22/1989 0:00:00;"TRY N' SAVE";5.51;;"Marge Simpson"
"Cleared";4/22/1989 0:00:00;"SOME OF THAT JAZZ";45.24;;"Marge Simpson"
"Cleared";4/20/1989 0:00:00;"TOMMY HILLCLIMBER";142.05;;"Marge Simpson"
"Cleared";4/20/1989 0:00:00;"BANANA MONARCHY";24.88;;"Marge Simpson"
"Cleared";4/20/1989 0:00:00;"RURAL OUTFITTERS";70.41;;"Marge Simpson"
"Cleared";4/19/1989 0:00:00;"AMERICAN VULTURE";159.05;;"Marge Simpson"
"Cleared";4/18/1989 0:00:00;"TRY N' SAVE";72.61;;"Marge Simpson"
"Cleared";4/18/1989 0:00:00;"BREAD PITT";5.59;;"Marge Simpson"
"Cleared";4/23/1989 0:00:00;"TRY N' SAVE";35.28;;"Marge Simpson"
"Cleared";4/17/1989 0:00:00;"PUNCHLINE JUICE BAR";7.41;;"Marge Simpson"
"Cleared";4/25/1989 0:00:00;"SHACK OF SIT";153.99;;"Marge Simpson"
"Cleared";4/16/1989 0:00:00;"KRUSTY BURGER";11.56;;"Marge Simpson"
"Cleared";4/12/1989 0:00:00;"PAYMENT";;-529.39;"Marge Simpson"
"Cleared";4/8/1989 0:00:00;"SPRINGFIELD SCHOOL DISTRICT";16.74;;"Marge Simpson"
"Cleared";3/26/1989 0:00:00;"TRY N' SAVE";38.88;;"Marge Simpson"
"Cleared";3/26/1989 0:00:00;"KWIK-E-MART";29.52;;"Marge Simpson"
"Cleared";3/26/1989 0:00:00;"KWIK-E-MART";34.55;;"Marge Simpson"
"Cleared";3/26/1989 0:00:00;"SHACK OF SIT";153.99;;"Marge Simpson"
"Cleared";3/26/1989 0:00:00;"GLOVE ME TENDER";18.56;;"Marge Simpson"
"Cleared";3/23/1989 0:00:00;"LARD LAD";6.74;;"Marge Simpson"
"Cleared";3/23/1989 0:00:00;"PUNCHLINE JUICE BAR";7.69;;"Marge Simpson"
"Cleared";4/18/1989 0:00:00;"THE WURST PLACE";12.86;;"Marge Simpson"
"Cleared";5/18/1989 0:00:00;"NOTORIOUS P.I.G. BBQ";16.81;;"Marge Simpson"
"Cleared";9/20/1989 0:00:00;"TRY N' SAVE";36.07;;"Marge Simpson"
"Cleared";5/23/1989 0:00:00;"SPRINGFIELD MALL";16.12;;"Marge Simpson"
"Cleared";5/23/1989 0:00:00;"SPRINGFIELD MALL";4.84;;"Marge Simpson"
"Cleared";5/21/1989 0:00:00;"TRY N' SAVE";3.22;;"Marge Simpson"
"Cleared";5/21/1989 0:00:00;"BREAD PITT";2.79;;"Marge Simpson"
"Cleared";5/20/1989 0:00:00;"THINGS UNNECESSARY";14.92;;"Marge Simpson"
"Cleared";5/20/1989 0:00:00;"OUR DAILY BREAD";9.00;;"Marge Simpson"
"Cleared";5/20/1989 0:00:00;"WHOLE PAYCHECK";65.43;;"Marge Simpson"
"Cleared";5/20/1989 0:00:00;"KWIK-E-MART GAS";47.64;;"Marge Simpson"
"Cleared";4/23/1989 0:00:00;"ROAD SCHOLAR TRANSPORT";28.71;;"Marge Simpson"
"Cleared";5/18/1989 0:00:00;"TACOS WITHOUT BORDERS";18.80;;"Marge Simpson"
"Cleared";3/22/1989 0:00:00;"SHELBYVILLE SCHOOL DISTRICT";9.57;;"Marge Simpson"
"Cleared";5/18/1989 0:00:00;"KRUSTY BURGER";5.90;;"Marge Simpson"
"Cleared";5/18/1989 0:00:00;"WHOLE PAYCHECK";462.50;;"Marge Simpson"
"Cleared";5/17/1989 0:00:00;"SPRINGFIELD DEPARTMENT OF COMMERCE";40.89;;"Marge Simpson"
"Cleared";5/14/1989 0:00:00;"PAYMENT";;-965.01;"Marge Simpson"
"Cleared";5/7/1989 0:00:00;"SOME OF THAT JAZZ";87.00;;"Marge Simpson"
"Cleared";5/1/1989 0:00:00;"WHOLE PAYCHECK";56.15;;"Marge Simpson"
"Cleared";4/29/1989 0:00:00;"SPRINGFIELD SCHOOL DISTRICT";33.71;;"Marge Simpson"
"Cleared";4/26/1989 0:00:00;"PUNCHLINE JUICE BAR";7.41;;"Marge Simpson"
"Cleared";4/26/1989 0:00:00;"GOLD NAVY";7.83;;"Marge Simpson"
"Cleared";4/26/1989 0:00:00;"SPRINGFIELD MALL";16.99;;"Marge Simpson"
"Cleared";5/18/1989 0:00:00;"TRY N' SAVE";61.52;;"Marge Simpson"
"Cleared";1/22/1989 0:00:00;"KWIK-E-MART";32.71;;"Marge Simpson"
"Cleared";2/14/1989 0:00:00;"PAYMENT";;-2167.82;"Marge Simpson"
"Cleared";2/5/1989 0:00:00;"SPRINGFIELD SCHOOL DISTRICT";19.79;;"Marge Simpson"
"Cleared";2/4/1989 0:00:00;"WHOLE PAYCHECK";125.41;;"Marge Simpson"
"Cleared";1/31/1989 0:00:00;"AMERICAN VULTURE";;-13.89;"Marge Simpson"
"Cleared";1/26/1989 0:00:00;"GOODY NEW SHOES";29.07;;"Marge Simpson"
"Cleared";1/26/1989 0:00:00;"SHACK OF SIT";259.08;;"Marge Simpson"
"Cleared";1/26/1989 0:00:00;"KRUSTY BURGER";43.83;;"Marge Simpson"
"Cleared";1/25/1989 0:00:00;"NOTORIOUS P.I.G. BBQ";27.89;;"Marge Simpson"
"Cleared";1/25/1989 0:00:00;"CURL UP & DYE SALON";62.48;;"Marge Simpson"
"Cleared";3/23/1989 0:00:00;"GLOVE ME TENDER";;-25.69;"Marge Simpson"
"Cleared";1/22/1989 0:00:00;"KWIK-E-MART";25.26;;"Marge Simpson"
"Cleared";2/19/1989 0:00:00;"KWIK-E-MART";31.40;;"Marge Simpson"
"Cleared";1/21/1989 0:00:00;"ABERCROMBIE & THE OTHER GUY";57.26;;"Marge Simpson"
"Cleared";1/18/1989 0:00:00;"TRY N' SAVE";11.55;;"Marge Simpson"
"Cleared";1/18/1989 0:00:00;"AMERICAN VULTURE";86.97;;"Marge Simpson"
"Cleared";1/17/1989 0:00:00;"TRY N' SAVE";41.24;;"Marge Simpson"
"Cleared";1/17/1989 0:00:00;"KWIK-E-MART";62.37;;"Marge Simpson"
"Cleared";1/17/1989 0:00:00;"THE WURST PLACE";12.82;;"Marge Simpson"
"Cleared";1/14/1989 0:00:00;"PAYMENT";;-2169.64;"Marge Simpson"
"Cleared";1/8/1989 0:00:00;"WHOLE PAYCHECK";41.52;;"Marge Simpson"
"Cleared";1/7/1989 0:00:00;"SPRINGFIELD SCHOOL DISTRICT";16.74;;"Marge Simpson"
"Cleared";1/3/1989 0:00:00;"SHERWOOD FLORIST";111.44;;"Marge Simpson"
"Cleared";1/24/1989 0:00:00;"FOOL LOCKER";42.07;;"Marge Simpson"
"Cleared";3/7/1989 0:00:00;"WHOLE PAYCHECK";18.98;;"Marge Simpson"
"Cleared";5/25/1989 0:00:00;"SHACK OF SIT";153.99;;"Marge Simpson"
"Cleared";3/22/1989 0:00:00;"SMALL FRYE'S BOUTIQUE";46.42;;"Marge Simpson"
"Cleared";3/22/1989 0:00:00;"AMERICAN VULTURE";13.90;;"Marge Simpson"
"Cleared";3/21/1989 0:00:00;"THE WURST PLACE";12.82;;"Marge Simpson"
"Cleared";3/20/1989 0:00:00;"OUR DAILY BREAD";32.96;;"Marge Simpson"
"Cleared";3/19/1989 0:00:00;"TRY N' SAVE";70.30;;"Marge Simpson"
"Cleared";3/19/1989 0:00:00;"KWIK-E-MART";15.27;;"Marge Simpson"
"Cleared";3/19/1989 0:00:00;"KWIK-E-MART";44.49;;"Marge Simpson"
"Cleared";3/19/1989 0:00:00;"GLOVE ME TENDER";25.69;;"Marge Simpson"
"Cleared";3/19/1989 0:00:00;"WHOLE PAYCHECK";275.30;;"Marge Simpson"
"Cleared";2/19/1989 0:00:00;"WHOLE PAYCHECK";286.05;;"Marge Simpson"
"Cleared";3/14/1989 0:00:00;"PAYMENT";;-1519.77;"Marge Simpson"
"Cleared";2/19/1989 0:00:00;"KWIK-E-MART";13.05;;"Marge Simpson"
"Cleared";3/4/1989 0:00:00;"SPRINGFIELD SCHOOL DISTRICT";16.74;;"Marge Simpson"
"Cleared";2/28/1989 0:00:00;"WHOLEPAYCHECK.COM";22.28;;"Marge Simpson"
"Cleared";2/27/1989 0:00:00;"WHOLE PAYCHECK";32.30;;"Marge Simpson"
"Cleared";2/22/1989 0:00:00;"HAIRY SHEARERS";6.76;;"Marge Simpson"
"Cleared";2/22/1989 0:00:00;"OUR DAILY BREAD";18.62;;"Marge Simpson"
"Cleared";2/21/1989 0:00:00;"GLOVE ME TENDER";28.36;;"Marge Simpson"
"Cleared";2/20/1989 0:00:00;"GREATFUL BREAD";4.48;;"Marge Simpson"
"Cleared";2/20/1989 0:00:00;"KWIK-E-MART";18.39;;"Marge Simpson"
"Cleared";2/19/1989 0:00:00;"TRY N' SAVE";67.66;;"Marge Simpson"
"Cleared";3/22/1989 0:00:00;"GREATFUL BREAD";8.83;;"Marge Simpson"
"Cleared";3/19/1989 0:00:00;"WHOLE PAYCHECK";;-30.35;"Marge Simpson"
"Cleared";7/26/1989 0:00:00;"BRITCHES & HOSE";46.61;;"Marge Simpson"
