"Date","Description","Card Member","Account .","Amount","Category"
1/4/1990 0:00:00,"JITTERS COFFEE","MARGE SIMPSON",-80942.00,15.37,"Restaurant-Bar & Café"
1/4/1991 0:00:00,"TRY N' SAVE","MARGE SIMPSON",-80942.00,37.01,"Merchandise & Supplies-Internet Purchase"
1/5/1989 0:00:00,"KRUSTY BURGER","HOMER SIMPSON",-80934.00,34.54,"Restaurant-Bar & Café"
1/5/1989 0:00:00,"TRY N' SAVE","HOMER SIMPSON",-80934.00,14.27,"Merchandise & Supplies-Groceries"
1/5/1989 0:00:00,"TRY N' SAVE","HOMER SIMPSON",-80934.00,33.69,"Merchandise & Supplies-Internet Purchase"
1/5/1991 0:00:00,"SOME OF THAT JAZZ","MARGE SIMPSON",-80942.00,6.96,"Other-Education"
1/6/1990 0:00:00,"SPRINGFIELD MALL","HOMER SIMPSON",-80934.00,3.39,"Merchandise & Supplies-Internet Purchase"
1/6/1990 0:00:00,"SOME OF THAT JAZZ","MARGE SIMPSON",-80942.00,126.15,"Merchandise & Supplies-Computer Supplies"
1/7/1989 0:00:00,"MAPPLE","MARGE SIMPSON",-80942.00,35.45,"Communications-Telephone Comm"
1/7/1989 0:00:00,"FACE SHOP","MARGE SIMPSON",-80942.00,101.23,"Merchandise & Supplies-Department Stores"
1/7/1989 0:00:00,"THORASSIC PARK","MARGE SIMPSON",-80942.00,59.16,"Business Services-Health Care Services"
1/7/1990 0:00:00,"CURL UP & DYE SALON","MARGE SIMPSON",-80942.00,94.19,"Merchandise & Supplies-Department Stores"
1/7/1990 0:00:00,"MAPPLE","MARGE SIMPSON",-80942.00,35.45,"Communications-Telephone Comm"
1/7/1990 0:00:00,"KWIK-E-MART","MARGE SIMPSON",-80942.00,37.98,"Merchandise & Supplies-Groceries"
1/7/1990 0:00:00,"GAS 'N' GULP","MARGE SIMPSON",-80942.00,34.49,"Transportation-Fuel"
1/7/1990 0:00:00,"ABERCROMBIE & THE OTHER GUY","MARGE SIMPSON",-80942.00,131.92,"Merchandise & Supplies-Clothing Stores"
1/7/1990 0:00:00,"TRY N' SAVE","MARGE SIMPSON",-80942.00,67.39,"Merchandise & Supplies-Wholesale Stores"
1/7/1990 0:00:00,"STENCHBURG DANCE","MARGE SIMPSON",-80942.00,69.60,"Business Services-Other Services"
1/7/1991 0:00:00,"AMERICAN VULTURE","MARGE SIMPSON",-80942.00,80.09,"Merchandise & Supplies-Clothing Stores"
1/8/1989 0:00:00,"KWIK-E-MART","MARGE SIMPSON",-80942.00,37.73,"Merchandise & Supplies-Groceries"
1/8/1989 0:00:00,"GREATFUL BREAD","MARGE SIMPSON",-80942.00,7.48,"Restaurant-Bar & Café"
1/8/1990 0:00:00,"PUNCHLINE JUICE BAR","MARGE SIMPSON",-80942.00,7.22,"Restaurant-Bar & Café"
1/8/1991 0:00:00,"TACOS WITHOUT BORDERS","MARGE SIMPSON",-80942.00,20.19,"Restaurant-Restaurant"
1/8/1991 0:00:00,"KWIK-E-MART","MARGE SIMPSON",-80942.00,38.19,"Merchandise & Supplies-Groceries"
1/9/1990 0:00:00,"DOME DEPOT","HOMER SIMPSON",-80934.00,18.62,"Merchandise & Supplies-Hardware Supplies"
1/9/1991 0:00:00,"KRUSTY BURGER","MARGE SIMPSON",-80942.00,20.96,"Restaurant-Bar & Café"
1/10/1989 0:00:00,"SPRINGFIELD MALL","MARGE SIMPSON",-80942.00,26.05,"Merchandise & Supplies-Internet Purchase"
1/10/1989 0:00:00,"ZOVUVAZZ","MARGE SIMPSON",-80942.00,438.72,"Communications-Mobile Telecom"
1/10/1989 0:00:00,"CITY OF SPRINGFIELD","HOMER SIMPSON",-80934.00,4.35,"Other-Government Services"
1/10/1990 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,-112.17,"Merchandise & Supplies-Computer Supplies"
1/10/1990 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,37.34,"Merchandise & Supplies-Computer Supplies"
1/10/1990 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,46.69,"Merchandise & Supplies-Computer Supplies"
1/10/1990 0:00:00,"ZOVUVAZZ","MARGE SIMPSON",-80942.00,255.66,"Communications-Mobile Telecom"
1/10/1990 0:00:00,"WELLNESS FOODS","HOMER SIMPSON",-80934.00,10.04,"Merchandise & Supplies-Groceries"
1/10/1990 0:00:00,"LINENS-N-SUCH","HOMER SIMPSON",-80934.00,65.11,"Merchandise & Supplies-Clothing Stores"
1/10/1991 0:00:00,"ZOVUVAZZ","MARGE SIMPSON",-80942.00,330.92,"Communications-Mobile Telecom"
1/10/1991 0:00:00,"MAPPLE","MARGE SIMPSON",-80942.00,32.54,"Communications-Telephone Comm"
1/11/1989 0:00:00,"NOTORIOUS P.I.G. BBQ","HOMER SIMPSON",-80934.00,25.31,"Restaurant-Restaurant"
1/11/1989 0:00:00,"LEFTORIUM","MARGE SIMPSON",-80942.00,8.32,"Merchandise & Supplies-Arts & Jewelry"
1/11/1989 0:00:00,"GAS 'N' GULP","MARGE SIMPSON",-80942.00,28.23,"Transportation-Fuel"
1/11/1989 0:00:00,"GAS 'N' GULP","HOMER SIMPSON",-80934.00,21.74,"Transportation-Fuel"
1/11/1990 0:00:00,"CHEESE CULTURE: A WHEY OF LIFE","MARGE SIMPSON",-80942.00,10.48,"Restaurant-Restaurant"
1/11/1990 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,90.74,"Communications-Telephone Comm"
1/11/1990 0:00:00,"KRUSTY BURGER","HOMER SIMPSON",-80934.00,42.67,"Restaurant-Bar & Café"
1/11/1991 0:00:00,"SPRINGFIELD HIGH SCHOOL","MARGE SIMPSON",-80942.00,8.70,"Other-Education"
1/12/1989 0:00:00,"AMERICAN VULTURE","MARGE SIMPSON",-80942.00,77.91,"Merchandise & Supplies-Internet Purchase"
1/12/1989 0:00:00,"THE RIGHT TO BARE ARMS","MARGE SIMPSON",-80942.00,34.80,"Other-Education"
1/12/1989 0:00:00,"GLOVE ME TENDER","HOMER SIMPSON",-80934.00,35.25,"Merchandise & Supplies-Internet Purchase"
1/12/1989 0:00:00,"KRUSTY BURGER","HOMER SIMPSON",-80934.00,41.56,"Restaurant-Bar & Café"
1/12/1989 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,7.42,"Merchandise & Supplies-Internet Purchase"
1/12/1990 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,7.44,"Merchandise & Supplies-Internet Purchase"
1/12/1991 0:00:00,"SPRINGFIELD MALL","HOMER SIMPSON",-80934.00,9.78,"Merchandise & Supplies-Internet Purchase"
1/12/1991 0:00:00,"SPRINGFIELD MALL","HOMER SIMPSON",-80934.00,12.76,"Merchandise & Supplies-Internet Purchase"
1/12/1991 0:00:00,"SPRINGFIELD MALL","HOMER SIMPSON",-80934.00,7.56,"Merchandise & Supplies-Internet Purchase"
1/13/1989 0:00:00,"NORTH HAVERBROOK DANCE","MARGE SIMPSON",-80942.00,63.03,"Business Services-Health Care Services"
1/13/1990 0:00:00,"KWIK-E-MART","MARGE SIMPSON",-80942.00,20.39,"Merchandise & Supplies-Groceries"
1/13/1990 0:00:00,"TRY N' SAVE","MARGE SIMPSON",-80942.00,33.19,"Merchandise & Supplies-Wholesale Stores"
1/14/1989 0:00:00,"SPRINGFIELD MALL","MARGE SIMPSON",-80942.00,118.65,"Merchandise & Supplies-Internet Purchase"
1/14/1990 0:00:00,"SOME OF THAT JAZZ","MARGE SIMPSON",-80942.00,87.00,"Merchandise & Supplies-Computer Supplies"
1/14/1990 0:00:00,"ABERCROMBIE & THE OTHER GUY","MARGE SIMPSON",-80942.00,55.51,"Merchandise & Supplies-Clothing Stores"
1/15/1989 0:00:00,"SPRINGFIELD MALL","MARGE SIMPSON",-80942.00,35.16,"Merchandise & Supplies-Internet Purchase"
1/15/1989 0:00:00,"PASSMORE GAS","HOMER SIMPSON",-80934.00,6.06,"Transportation-Fuel"
1/15/1989 0:00:00,"GET IT STRAIGHT ORTHODONTICS","MARGE SIMPSON",-80942.00,150.51,"Business Services-Health Care Services"
1/15/1990 0:00:00,"SPRINGFIELD DMV","HOMER SIMPSON",-80934.00,45.24,"Other-Government Services"
1/15/1990 0:00:00,"PAYMENT","MARGE SIMPSON",-80942.00,-1218.00,""
1/15/1990 0:00:00,"GET IT STRAIGHT ORTHODONTICS","MARGE SIMPSON",-80942.00,150.51,"Business Services-Health Care Services"
1/15/1990 0:00:00,"SOME OF THAT JAZZ","MARGE SIMPSON",-80942.00,253.17,"Merchandise & Supplies-Computer Supplies"
1/15/1990 0:00:00,"PUNCHLINE JUICE BAR","MARGE SIMPSON",-80942.00,10.70,"Restaurant-Bar & Café"
1/15/1990 0:00:00,"KWIK-E-MART","MARGE SIMPSON",-80942.00,15.16,"Merchandise & Supplies-Groceries"
1/15/1990 0:00:00,"GAS 'N' GULP","MARGE SIMPSON",-80942.00,34.47,"Transportation-Fuel"
1/15/1991 0:00:00,"SOME OF THAT JAZZ","MARGE SIMPSON",-80942.00,64.81,"Other-Education"
1/16/1989 0:00:00,"THE RIGHT TO BARE ARMS","MARGE SIMPSON",-80942.00,62.64,"Other-Education"
1/16/1991 0:00:00,"KRUSTY BURGER","MARGE SIMPSON",-80942.00,19.07,"Restaurant-Bar & Café"
1/16/1991 0:00:00,"OGDENVILLE SOCCER","HOMER SIMPSON",-80934.00,8.70,"Entertainment-Sports Events"
1/16/1991 0:00:00,"JITTERS COFFEE","MARGE SIMPSON",-80942.00,5.87,"Restaurant-Bar & Café"
1/17/1990 0:00:00,"I CAN'T BELIEVE IT'S A LAW FIRM","HOMER SIMPSON",-80934.00,286.23,"Other-Miscellaneous"
1/17/1990 0:00:00,"MAPPLE","MARGE SIMPSON",-80942.00,34.36,"Communications-Telephone Comm"
1/17/1990 0:00:00,"NOTORIOUS P.I.G. BBQ","HOMER SIMPSON",-80934.00,28.01,"Restaurant-Restaurant"
1/17/1991 0:00:00,"ITCHY & SCRATCHY PLUS","HOMER SIMPSON",-80934.00,6.67,"Merchandise & Supplies-Internet Purchase"
1/17/1991 0:00:00,"MAPPLE","MARGE SIMPSON",-80942.00,34.36,"Communications-Telephone Comm"
1/18/1989 0:00:00,"AMERICAN VULTURE","MARGE SIMPSON",-80942.00,-33.39,"Merchandise & Supplies-Clothing Stores"
1/18/1989 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,52.48,"Communications-Telephone Comm"
1/18/1989 0:00:00,"GLOVE ME TENDER","HOMER SIMPSON",-80934.00,27.49,"Merchandise & Supplies-Internet Purchase"
1/18/1990 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,52.48,"Communications-Telephone Comm"
1/18/1990 0:00:00,"KRUSTY BURGER","HOMER SIMPSON",-80934.00,42.67,"Restaurant-Bar & Café"
1/18/1991 0:00:00,"SPRINGFIELD MALL","MARGE SIMPSON",-80942.00,5.21,"Merchandise & Supplies-Internet Purchase"
1/18/1991 0:00:00,"NOTFLIX","MARGE SIMPSON",-80942.00,13.91,"Communications-Cable & Internet Comm"
1/18/1991 0:00:00,"OGDENVILLE JR HIGH SCHOOL","MARGE SIMPSON",-80942.00,8.33,"Other-Education"
1/19/1989 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,8.69,"Merchandise & Supplies-Internet Purchase"
1/19/1989 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,13.92,"Merchandise & Supplies-Internet Purchase"
1/19/1990 0:00:00,"SPRINGFIELD MALL","MARGE SIMPSON",-80942.00,12.96,"Merchandise & Supplies-Internet Purchase"
1/19/1990 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,8.69,"Merchandise & Supplies-Internet Purchase"
1/19/1990 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,13.97,"Merchandise & Supplies-Internet Purchase"
1/19/1991 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,8.69,"Merchandise & Supplies-Internet Purchase"
1/19/1991 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,13.97,"Merchandise & Supplies-Internet Purchase"
1/21/1989 0:00:00,"PAYMENT","HOMER SIMPSON",-80934.00,-2957.51,""
1/21/1989 0:00:00,"MAPPLE","HOMER SIMPSON",-80934.00,12.98,"Merchandise & Supplies-Internet Purchase"
1/21/1990 0:00:00,"PAYMENT","HOMER SIMPSON",-80934.00,-2912.15,""
1/21/1991 0:00:00,"PAYMENT","HOMER SIMPSON",-80934.00,-2693.32,""
1/23/1990 0:00:00,"COUNTER CULTURE RESTAURANT","HOMER SIMPSON",-80934.00,35.58,"Restaurant-Restaurant"
1/23/1990 0:00:00,"JUAN IN A MILLION","HOMER SIMPSON",-80934.00,33.74,"Restaurant-Restaurant"
1/24/1989 0:00:00,"CITY OF SPRINGFIELD","HOMER SIMPSON",-80934.00,72.94,"Other-Government Services"
1/24/1990 0:00:00,"NOTORIOUS P.I.G. BBQ","HOMER SIMPSON",-80934.00,24.44,"Restaurant-Bar & Café"
1/24/1990 0:00:00,"CITY OF SPRINGFIELD","HOMER SIMPSON",-80934.00,88.87,"Other-Government Services"
1/24/1990 0:00:00,"LEFTORIUM","HOMER SIMPSON",-80934.00,22.83,"Merchandise & Supplies-Arts & Jewelry"
1/24/1991 0:00:00,"CITY OF SPRINGFIELD","HOMER SIMPSON",-80934.00,83.56,"Other-Government Services"
1/25/1990 0:00:00,"KRUSTY BURGER","HOMER SIMPSON",-80934.00,17.26,"Restaurant-Bar & Café"
1/27/1989 0:00:00,"THE HORSESHOE ROAD INN","HOMER SIMPSON",-80934.00,284.68,"Travel-Lodging"
1/27/1989 0:00:00,"FEES","HOMER SIMPSON",-80934.00,1.79,"Fees & Adjustments-Fees & Adjustments"
1/27/1989 0:00:00,"FEES","HOMER SIMPSON",-80934.00,1.08,"Fees & Adjustments-Fees & Adjustments"
1/27/1989 0:00:00,"FEES","HOMER SIMPSON",-80934.00,1.53,"Fees & Adjustments-Fees & Adjustments"
1/27/1990 0:00:00,"FEES","HOMER SIMPSON",-80934.00,9.19,"Fees & Adjustments-Fees & Adjustments"
1/27/1990 0:00:00,"FEES","HOMER SIMPSON",-80934.00,3.68,"Fees & Adjustments-Fees & Adjustments"
1/27/1990 0:00:00,"FEES","HOMER SIMPSON",-80934.00,8.44,"Fees & Adjustments-Fees & Adjustments"
1/27/1990 0:00:00,"FEES","HOMER SIMPSON",-80934.00,6.59,"Fees & Adjustments-Fees & Adjustments"
1/27/1990 0:00:00,"FEES","HOMER SIMPSON",-80934.00,2.48,"Fees & Adjustments-Fees & Adjustments"
1/27/1991 0:00:00,"FEES","HOMER SIMPSON",-80934.00,1.52,"Fees & Adjustments-Fees & Adjustments"
1/27/1991 0:00:00,"FEES","HOMER SIMPSON",-80934.00,1.58,"Fees & Adjustments-Fees & Adjustments"
1/27/1991 0:00:00,"FEES","HOMER SIMPSON",-80934.00,6.77,"Fees & Adjustments-Fees & Adjustments"
1/27/1991 0:00:00,"FEES","HOMER SIMPSON",-80934.00,8.40,"Fees & Adjustments-Fees & Adjustments"
1/27/1991 0:00:00,"FEES","HOMER SIMPSON",-80934.00,9.09,"Fees & Adjustments-Fees & Adjustments"
1/27/1991 0:00:00,"FEES","HOMER SIMPSON",-80934.00,1.97,"Fees & Adjustments-Fees & Adjustments"
1/27/1991 0:00:00,"FEES","HOMER SIMPSON",-80934.00,2.42,"Fees & Adjustments-Fees & Adjustments"
1/28/1989 0:00:00,"SHELBYVILLE DANCE","MARGE SIMPSON",-80942.00,40.28,"Merchandise & Supplies-Computer Supplies"
1/28/1990 0:00:00,"OGDENVILLE TRAMP WORLD","MARGE SIMPSON",-80942.00,18.66,"Entertainment-Other Entertainment"
1/28/1990 0:00:00,"THE BETA BARN","MARGE SIMPSON",-80942.00,10.26,"Merchandise & Supplies-Computer Supplies"
1/28/1990 0:00:00,"KWIK-E-MART","MARGE SIMPSON",-80942.00,89.39,"Merchandise & Supplies-Groceries"
1/28/1990 0:00:00,"GAS 'N' GULP","MARGE SIMPSON",-80942.00,27.80,"Transportation-Fuel"
1/28/1990 0:00:00,"THORASSIC PARK","MARGE SIMPSON",-80942.00,56.55,"Business Services-Health Care Services"
1/28/1990 0:00:00,"TRY N' SAVE","MARGE SIMPSON",-80942.00,99.21,"Merchandise & Supplies-Wholesale Stores"
1/28/1991 0:00:00,"THORASSIC PARK","MARGE SIMPSON",-80942.00,73.95,"Business Services-Health Care Services"
1/29/1989 0:00:00,"AMERICAN VULTURE","MARGE SIMPSON",-80942.00,68.65,"Merchandise & Supplies-Internet Purchase"
1/29/1989 0:00:00,"DISH NOT WORK","HOMER SIMPSON",-80934.00,159.64,"Communications-Cable & Internet Comm"
1/29/1989 0:00:00,"KWIK-E-MART","MARGE SIMPSON",-80942.00,81.00,"Merchandise & Supplies-Groceries"
1/29/1989 0:00:00,"GAS 'N' GULP","MARGE SIMPSON",-80942.00,20.84,"Transportation-Fuel"
1/29/1989 0:00:00,"TRY N' SAVE","MARGE SIMPSON",-80942.00,239.16,"Merchandise & Supplies-Wholesale Stores"
1/29/1990 0:00:00,"DISH NOT WORK","HOMER SIMPSON",-80934.00,167.56,"Communications-Cable & Internet Comm"
1/29/1990 0:00:00,"WELLNESS FOODS","MARGE SIMPSON",-80942.00,7.44,"Merchandise & Supplies-Groceries"
1/29/1990 0:00:00,"PUNCHLINE JUICE BAR","MARGE SIMPSON",-80942.00,7.42,"Restaurant-Bar & Café"
1/29/1990 0:00:00,"JACK THE CLIPPER","MARGE SIMPSON",-80942.00,27.65,"Merchandise & Supplies-Mail Order"
1/29/1991 0:00:00,"DISH NOT WORK","HOMER SIMPSON",-80934.00,129.31,"Communications-Cable & Internet Comm"
1/30/1991 0:00:00,"KRUSTY BURGER","MARGE SIMPSON",-80942.00,31.77,"Restaurant-Bar & Café"
1/31/1989 0:00:00,"WELLNESS FOODS","MARGE SIMPSON",-80942.00,6.89,"Merchandise & Supplies-Groceries"
1/31/1989 0:00:00,"THINGS UNNECESSARY","MARGE SIMPSON",-80942.00,1.84,"Merchandise & Supplies-Internet Purchase"
1/31/1989 0:00:00,"THINGS UNNECESSARY","MARGE SIMPSON",-80942.00,5.55,"Merchandise & Supplies-Internet Purchase"
1/31/1989 0:00:00,"THINGS UNNECESSARY","MARGE SIMPSON",-80942.00,27.64,"Merchandise & Supplies-Internet Purchase"
1/31/1989 0:00:00,"TOMMY HILLCLIMBER","MARGE SIMPSON",-80942.00,59.40,"Merchandise & Supplies-Clothing Stores"
1/31/1989 0:00:00,"SPRINGFIELD CORPORATIONS","HOMER SIMPSON",-80934.00,17.40,"Other-Government Services"
1/31/1990 0:00:00,"NOTORIOUS P.I.G. BBQ","HOMER SIMPSON",-80934.00,24.44,"Restaurant-Bar & Café"
1/31/1990 0:00:00,"TOMMY HILLCLIMBER","HOMER SIMPSON",-80934.00,38.20,"Merchandise & Supplies-Clothing Stores"
1/31/1990 0:00:00,"WELLNESS FOODS","HOMER SIMPSON",-80934.00,11.18,"Merchandise & Supplies-Groceries"
2/1/1989 0:00:00,"POOL SHARKS","MARGE SIMPSON",-80942.00,12.90,"Merchandise & Supplies-Clothing Stores"
2/1/1989 0:00:00,"I CAN'T BELIEVE IT'S A LAW FIRM","HOMER SIMPSON",-80934.00,43.50,"Other-Miscellaneous"
2/1/1989 0:00:00,"I CAN'T BELIEVE IT'S A LAW FIRM","HOMER SIMPSON",-80934.00,286.23,"Other-Miscellaneous"
2/1/1989 0:00:00,"TOMMY HILLCLIMBER","MARGE SIMPSON",-80942.00,44.00,"Merchandise & Supplies-Clothing Stores"
2/1/1989 0:00:00,"TOMMY HILLCLIMBER","MARGE SIMPSON",-80942.00,60.17,"Merchandise & Supplies-Internet Purchase"
2/1/1990 0:00:00,"THE RIGHT TO BARE ARMS","MARGE SIMPSON",-80942.00,35.23,"Other-Education"
2/1/1990 0:00:00,"KRUSTY BURGER","MARGE SIMPSON",-80942.00,27.54,"Restaurant-Bar & Café"
2/1/1990 0:00:00,"SOME OF THAT JAZZ","MARGE SIMPSON",-80942.00,201.84,"Merchandise & Supplies-Computer Supplies"
2/1/1991 0:00:00,"SOME OF THAT JAZZ","MARGE SIMPSON",-80942.00,84.39,"Other-Education"
2/1/1991 0:00:00,"KWIK-E-MART","MARGE SIMPSON",-80942.00,42.01,"Merchandise & Supplies-Groceries"
2/1/1991 0:00:00,"TRY N' SAVE","MARGE SIMPSON",-80942.00,43.16,"Merchandise & Supplies-Wholesale Stores"
2/2/1989 0:00:00,"BLOODBATH & BEYOND GUN SHOP","HOMER SIMPSON",-80934.00,2.63,"Merchandise & Supplies-Sporting Goods Stores"
2/2/1989 0:00:00,"CHEESE CULTURE: A WHEY OF LIFE","HOMER SIMPSON",-80934.00,38.65,"Restaurant-Restaurant"
2/2/1989 0:00:00,"TRY N' SAVE","HOMER SIMPSON",-80934.00,20.74,"Merchandise & Supplies-Wholesale Stores"
2/3/1989 0:00:00,"PUNCHLINE JUICE BAR","MARGE SIMPSON",-80942.00,7.69,"Restaurant-Bar & Café"
2/3/1989 0:00:00,"JUST FALAFS","HOMER SIMPSON",-80934.00,26.82,"Restaurant-Restaurant"
2/4/1989 0:00:00,"NOISELAND ARCADE","MARGE SIMPSON",-80942.00,17.40,"Entertainment-Theme Parks"
2/4/1989 0:00:00,"BANANA MONARCHY","MARGE SIMPSON",-80942.00,18.35,"Merchandise & Supplies-Clothing Stores"
2/4/1989 0:00:00,"THE WURST PLACE","HOMER SIMPSON",-80934.00,39.03,"Restaurant-Bar & Café"
2/4/1989 0:00:00,"GAS 'N' GULP","HOMER SIMPSON",-80934.00,19.52,"Transportation-Fuel"
2/4/1989 0:00:00,"GREATFUL BREAD","HOMER SIMPSON",-80934.00,27.23,"Restaurant-Bar & Café"
2/4/1989 0:00:00,"BROWN CHICKEN BROWN COW","MARGE SIMPSON",-80942.00,45.03,"Restaurant-Restaurant"
2/4/1989 0:00:00,"SPRINGFIELD PARTYLAND","MARGE SIMPSON",-80942.00,17.54,"Entertainment-Other Entertainment"
2/4/1990 0:00:00,"NOTORIOUS P.I.G. BBQ","HOMER SIMPSON",-80934.00,99.73,"Restaurant-Bar & Café"
2/4/1990 0:00:00,"SPRINGFIELD PARTYLAND","MARGE SIMPSON",-80942.00,24.02,"Entertainment-Other Entertainment"
2/4/1991 0:00:00,"OINKADOODLEMOO SMOKY BBQ","MARGE SIMPSON",-80942.00,38.31,"Restaurant-Restaurant"
2/4/1991 0:00:00,"SPRINGFIELD GLEN COUNTRY CLUB","MARGE SIMPSON",-80942.00,44.07,"Entertainment-Other Entertainment"
2/4/1991 0:00:00,"SPRINGFIELD PARTYLAND","HOMER SIMPSON",-80934.00,40.32,"Entertainment-Other Entertainment"
2/5/1989 0:00:00,"AMERICAN VULTURE","MARGE SIMPSON",-80942.00,71.45,"Merchandise & Supplies-Internet Purchase"
2/5/1989 0:00:00,"KWIK-E-MART","MARGE SIMPSON",-80942.00,14.16,"Merchandise & Supplies-Groceries"
2/5/1989 0:00:00,"GAS 'N' GULP","MARGE SIMPSON",-80942.00,23.31,"Transportation-Fuel"
2/5/1989 0:00:00,"TRY N' SAVE","MARGE SIMPSON",-80942.00,31.47,"Merchandise & Supplies-Wholesale Stores"
2/5/1990 0:00:00,"KWIK-E-MART","MARGE SIMPSON",-80942.00,57.76,"Merchandise & Supplies-Groceries"
2/5/1990 0:00:00,"GAS 'N' GULP","MARGE SIMPSON",-80942.00,21.61,"Transportation-Fuel"
2/6/1989 0:00:00,"BANDANA REPUBLIC","MARGE SIMPSON",-80942.00,53.32,"Merchandise & Supplies-Clothing Stores"
2/6/1991 0:00:00,"WELLNESS FOODS","MARGE SIMPSON",-80942.00,3.78,"Merchandise & Supplies-Groceries"
2/6/1991 0:00:00,"HINDENBURGER","MARGE SIMPSON",-80942.00,20.87,"Other-Miscellaneous"
